processes,N,execution_s,computation_s,communication_s
1,3600,0.0003981030,0.0003669170,0.0000311860
1,3600,0.0002912730,0.0002680630,0.0000232100
1,3600,0.0003076880,0.0002772590,0.0000304290
1,3600,0.0004673770,0.0004253070,0.0000420700
1,3600,0.0003105060,0.0002822170,0.0000282890
1,3600,0.0006573820,0.0006145390,0.0000428430
1,3600,0.0002909250,0.0002679560,0.0000229690
1,3600,0.0002965030,0.0002733730,0.0000231300
1,3600,0.0002941650,0.0002717980,0.0000223670
1,3600,0.0002985390,0.0002748400,0.0000236990
1,3600,0.0003136930,0.0002832340,0.0000304590
1,3600,0.0002906300,0.0002675820,0.0000230480
1,3600,0.0002918800,0.0002692810,0.0000225990
1,3600,0.0003142810,0.0002916360,0.0000226450
1,3600,0.0003204270,0.0002968910,0.0000235360
1,3600,0.0003054780,0.0002831890,0.0000222890
1,3600,0.0006411010,0.0005989190,0.0000421820
1,3600,0.0002835530,0.0002608300,0.0000227230
1,3600,0.0004140480,0.0003557980,0.0000582500
1,3600,0.0004616850,0.0004182280,0.0000434570
1,7200,0.0006046850,0.0005594600,0.0000452250
1,7200,0.0006561970,0.0006087660,0.0000474310
1,7200,0.0006112200,0.0005660790,0.0000451410
1,7200,0.0007534790,0.0006950570,0.0000584220
1,7200,0.0006096800,0.0005647480,0.0000449319
1,7200,0.0006316950,0.0005671520,0.0000645430
1,7200,0.0006094960,0.0005620220,0.0000474740
1,7200,0.0008009870,0.0007337170,0.0000672700
1,7200,0.0006085029,0.0005562759,0.0000522270
1,7200,0.0007435299,0.0006789770,0.0000645529
1,7200,0.0006053430,0.0005536040,0.0000517390
1,7200,0.0006044821,0.0005531840,0.0000512981
1,7200,0.0005968490,0.0005499090,0.0000469401
1,7200,0.0006151870,0.0005675560,0.0000476311
1,7200,0.0005709660,0.0005251711,0.0000457949
1,7200,0.0006852470,0.0006231770,0.0000620700
1,7200,0.0006217430,0.0005703981,0.0000513449
1,7200,0.0006120230,0.0005645680,0.0000474550
1,7200,0.0006045080,0.0005583330,0.0000461750
1,7200,0.0006850421,0.0006164680,0.0000685740
1,10800,0.0009987269,0.0009118810,0.0000868459
